ID	ACTION	TARGET	OTHER	FRENCH	ENGLISH
50	receive	tab2sandwichgood	tab2picturewife	Ce serait vraiment une blague de mauvais goût.
51	inspect	tab2sandwichgoodpickable	none	Il faut que je fasse un échange discret.
52	use	tab2sandwichgoodpickable	none	Je ne compte pas le manger.
53	pickup	tab2sandwichgoodpickable	none	Il faut que je le remplace pour ne pas éveiller les soupçons.
54	receive	tab2sandwichgoodpickable	tab1sandwichbad	Parfait, je n'ai plus qu'à l'amener à la belle au bois dormant.
55	receive	tab1plate	tab1batteries	Non !
56	inspect	tab2employee1	none	Il a l'air de faire le boulot de prof de sport à domicile, sans le côté prof.
57	use	tab2employee1	none	Quoi ?
58	pickup	tab2employee1	none	Non.
59	receive	tab2employee1	tab2rock	Mauvaise idée.
60	receive	tab2employee1	tab1sandwichbad	Il ne le mangerait pas, de toute façon.
61	receive	tab2employee1	tab2picturewife	Casquette va devenir fou de rage et pousser Prof-de-Sport sur le Foodtruck.
62	inspect	tab2employee2	none	Il mange son sandwich.
63	use	tab2employee2	none	Non.
64	pickup	tab2employee2	none	Non.
65	receive	tab2employee2	tab1sandwichbad	Ce serait méchant.
66	receive	tab2employee2	tab2rock	Je peux sûrement faire mieux avec ce caillou.
67	receive	tab2employee2	tab2picturewife	Je pourrais lui rendre, ou bien être plus vicieux.
68	inspect	tab2rock	none	C'est un caillou.
69	use	tab2rock	none	Oui, mais sur quoi ?
70	pickup	tab2rock	none	Je lui trouverai sûrement une utilité.
71	receive	tab2rock	tab1sandwichbad	Mais pourquoi, au juste ?
72	receive	tab2rock	tab1batteries	Oui, mais non.
73	receive	tab2rock	tab2picturewife	Mmmh... Non.
74	inspect	tab2picturewife	none	Sa femme doit une être une véritable co-.. truie. Une truie.
75	use	tab2picturewife	none	Non, vraiment pas.
76	pickup	tab2picturewife	none	Ca devrait m'être utile.
77	receive	tab2picturewife	tab2rock	Mmmh... Non.
78	receive	tab2picturewife	tab1sandwichbad	Non ?
79	inspect	tab2menfight	none	Le vendeur de sandwich est occupé, c'est le moment.
80	use	tab2menfight	none	Il y a un temps pour griffer, et un temps pour sauver la planète.
81	pickup	tab2menfight	none	Euh... Vraiment pas, non.
82	receive	tab2menfight	tab1sandwichbad	Oui, vraiment, c'est la meilleure solution envisageable.
83	receive	tab2menfight	tab2sandwichgoodpickable	Le sandwich n'est pas pour eux !
84	inspect	tab2bluecar	none	C'est une voiture bleue.
85	use	tab2bluecar	none	Je ne sais même pas conduire.
86	pickup	tab2bluecar	none	Oui, tout à fait.
87	receive	tab2bluecar	tab1sandwichbad	Une idée merveilleuse.
88	receive	tab2bluecar	tab2rock	Pas maintenant.
89	receive	tab2bluecar	tab2picturewife	Il y a sûrement une meilleure solution.
90	receive	tab2bluecar	tab1batteries	Et non !
91	inspect	tab2bluecar2	none	Je devrais faire du bruit pour attirer l'attention de Casquette.
92	pickup	tab2bluecar2	none	Oui, tout à fait.
93	use	tab2bluecar2	none	Je ne sais pas conduire.
94	receive	tab2bluecar2	tab1sandwichbad Une idée merveilleuse.
95	receive	tab2bluecar2	tab2sandwichgoodpickable	Je... Non.
96	receive	tab2bluecar2	tab2rock	Ca devrait lui faire remarquer que sa photo a changé de place.
97	inspect	tab2batterycase	none	Le boîtier de piles est vide.
98	use	tab2batterycase	none	Il faut que je trouve un moyen de l'alimenter.
99	pickup	tab2batterycase	none	Non.
100	receive	tab2batterycase	tab1batteries	Ca devrait faire l'affaire.
101	receive	tab2batterycase	tab1sandwichbad	Je suis un chat, pas un demeuré.
102	receive	tab2batterycase	tab2rock	Caillou. Taper. Non.
